,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2008-02-21,58.54999923706055,58.54999923706055,58.54999923706055,58.54999923706055,0.0,58.54999923706055,316.0,55.0,966.0,10879.0,11584.0,212.0,147.0,488.0,2344.0,2003.0,124996.0,133531.0,1.0682736385673257,,,
2008-02-22,58.7599983215332,58.7599983215332,58.7599983215332,58.7599983215332,0.0,58.7599983215332,189.0,1.0,362.0,10705.0,10879.0,211.0,175.0,367.0,2536.0,2344.0,125170.0,133339.0,1.0652547315272707,,,
2008-02-25,60.04999923706055,60.04999923706055,60.04999923706055,60.04999923706055,0.0,60.04999923706055,692.0,0.0,1474.0,9923.0,10705.0,121.0,314.0,455.0,2677.0,2536.0,125577.0,132823.0,1.057693226520569,,,
2008-02-26,60.41999816894531,60.41999816894531,60.41999816894531,60.41999816894531,0.0,60.41999816894531,165.0,0.0,1628.0,8460.0,9923.0,213.0,181.0,330.0,2826.0,2677.0,122665.0,128299.0,1.0459214452252459,,,
2008-02-27,61.36000061035156,61.36000061035156,61.36000061035156,61.36000061035156,0.0,61.36000061035156,289.0,28.0,470.0,8251.0,8460.0,70.0,160.0,339.0,3005.0,2826.0,118374.0,123620.0,1.0443083421330517,,,
2008-02-29,60.470001220703125,60.470001220703125,60.470001220703125,60.470001220703125,0.0,60.470001220703125,127.0,0.0,639.0,7739.0,8251.0,135.0,235.0,245.0,3014.0,3005.0,118761.0,123486.0,1.039777033057712,,,
2008-03-03,59.189998626708984,59.189998626708984,59.189998626708984,59.189998626708984,0.0,59.189998626708984,878.0,12.0,337.0,8268.0,7739.0,227.0,822.0,163.0,2355.0,3014.0,119357.0,125270.0,1.0495316610533019,,,
2008-03-04,60.70000076293945,60.70000076293945,60.70000076293945,60.70000076293945,0.0,60.70000076293945,167.0,1.0,949.0,7485.0,8268.0,275.0,174.0,589.0,2770.0,2355.0,120140.0,124855.0,1.0392372295885668,,,
2008-03-05,60.7599983215332,60.7599983215332,60.7599983215332,60.7599983215332,0.0,60.7599983215332,187.0,23.0,609.0,7040.0,7485.0,165.0,103.0,386.0,3053.0,2770.0,120710.0,124697.0,1.0330210171401115,,,
2008-03-06,62.38999938964844,62.38999938964844,62.38999938964844,62.38999938964844,0.0,62.38999938964844,411.0,2.0,835.0,6614.0,7040.0,259.0,232.0,282.0,3103.0,3053.0,121136.0,124647.0,1.0289754575398102,,,
2008-03-07,61.43000030517578,61.43000030517578,61.43000030517578,61.43000030517578,0.0,61.43000030517578,679.0,0.0,289.0,7004.0,6614.0,93.0,300.0,186.0,2988.0,3103.0,121496.0,125512.0,1.0330460834423896,,,
2008-03-10,59.52000045776367,59.52000045776367,59.52000045776367,59.52000045776367,0.0,59.52000045776367,1036.0,0.0,550.0,7490.0,7004.0,114.0,565.0,231.0,2654.0,2988.0,123260.0,128096.0,1.039225708050397,,,
2008-03-11,60.06999969482422,60.06999969482422,60.06999969482422,60.06999969482422,0.0,60.06999969482422,1011.0,0.0,203.0,8298.0,7490.0,227.0,377.0,102.0,2379.0,2654.0,124202.0,130121.0,1.047647802388026,,,
2008-03-12,60.54999923706055,60.54999923706055,60.54999923706055,60.54999923706055,0.0,60.54999923706055,1149.0,0.0,983.0,8464.0,8298.0,179.0,145.0,151.0,2385.0,2379.0,125536.0,131615.0,1.0484160048431936,,,
2008-03-13,59.0,59.0,59.0,59.0,0.0,59.0,786.0,1.0,240.0,9009.0,8464.0,160.0,217.0,89.0,2257.0,2385.0,126866.0,133618.0,1.0532132075322975,,,
2008-03-14,58.560001373291016,58.560001373291016,58.560001373291016,58.560001373291016,0.0,58.560001373291016,1232.0,16.0,276.0,9949.0,9009.0,400.0,209.0,292.0,2340.0,2257.0,126676.0,134285.0,1.0600582584052354,,,
2008-03-17,57.310001373291016,57.310001373291016,57.310001373291016,57.310001373291016,0.0,57.310001373291016,1257.0,0.0,615.0,10591.0,9949.0,462.0,470.0,466.0,2336.0,2340.0,130909.0,139164.0,1.0630509510350623,,,
2008-03-18,57.58000183105469,57.58000183105469,57.58000183105469,57.58000183105469,0.0,57.58000183105469,854.0,1.0,344.0,11100.0,10591.0,351.0,357.0,145.0,2124.0,2336.0,134775.0,143751.0,1.0665919748323143,,,
2008-03-19,58.72999954223633,58.72999954223633,58.72999954223633,58.72999954223633,0.0,58.72999954223633,1109.0,41.0,1782.0,10386.0,11100.0,216.0,190.0,209.0,2143.0,2124.0,137489.0,145732.0,1.0599461779038475,,,
2008-03-20,59.790000915527344,59.790000915527344,59.790000915527344,59.790000915527344,0.0,59.790000915527344,572.0,3.0,1538.0,9417.0,10386.0,565.0,191.0,242.0,2194.0,2143.0,144708.0,151931.0,1.0499070548480054,,,
2008-03-21,61.43000030517578,61.43000030517578,61.43000030517578,61.43000030517578,0.0,61.43000030517578,2352.0,0.0,1540.0,10229.0,9417.0,349.0,217.0,329.0,2305.0,2194.0,144896.0,152820.0,1.0546802211225905,,,
2008-03-24,63.880001068115234,63.880001068115234,63.880001068115234,63.880001068115234,0.0,63.880001068115234,5715.0,1.0,2436.0,13507.0,10229.0,1331.0,333.0,677.0,2649.0,2305.0,143368.0,154226.0,1.075727667766393,,,
2008-03-25,63.349998474121094,63.349998474121094,63.349998474121094,63.349998474121094,0.0,63.349998474121094,2563.0,0.0,1178.0,14892.0,13507.0,554.0,316.0,269.0,2601.0,2649.0,142983.0,155274.0,1.0859536731382533,,,
2008-03-26,63.0099983215332,63.0099983215332,63.0099983215332,63.0099983215332,0.0,63.0099983215332,1646.0,3.0,1147.0,15388.0,14892.0,437.0,297.0,296.0,2598.0,2601.0,142612.0,155402.0,1.0896762567227392,,,
2008-03-27,61.400001525878906,61.400001525878906,61.400001525878906,61.400001525878906,0.0,61.400001525878906,2867.0,6.0,697.0,17552.0,15388.0,608.0,644.0,589.0,2543.0,2598.0,140698.0,155707.0,1.1066674247862458,,,
2008-03-28,61.22999954223633,61.22999954223633,61.22999954223633,61.22999954223633,0.0,61.22999954223633,1265.0,3.0,1095.0,17719.0,17552.0,772.0,582.0,351.0,2312.0,2543.0,141781.0,157188.0,1.1086597734550225,,,
2008-03-31,60.81999969482422,60.81999969482422,60.81999969482422,60.81999969482422,0.0,60.81999969482422,1698.0,16.0,612.0,18789.0,17719.0,628.0,565.0,204.0,1951.0,2312.0,143461.0,160299.0,1.1173620889155316,,,
2008-04-01,59.86000061035156,59.86000061035156,59.86000061035156,59.86000061035156,0.0,59.86000061035156,1182.0,26.0,1341.0,18604.0,18789.0,510.0,144.0,401.0,2208.0,1951.0,144271.0,160667.0,1.1136395142508595,,,
