,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio,Date
2019-02-22,76.94999694824219,76.5,76.94999694824219,76.94999694824219,9881017.0,76.94999694824219,8.0,0.0,42.0,1868.0,1902.0,0.0,5.0,23.0,477.0,459.0,240382.0,241773.0,1.0057824388579892,8605000.0,533000.0,16.144435001060035,2019-02-22
2019-02-25,77.75,77.30000305175781,77.3499984741211,77.5,19365354.0,77.5,35.0,0.0,95.0,1808.0,1868.0,0.0,17.0,20.0,480.0,477.0,237942.0,239270.0,1.0055769659120042,17112000.0,2178000.0,7.856745703973506,2019-02-25
2019-02-26,77.80000305175781,77.30000305175781,77.6500015258789,77.69999694824219,15903051.0,77.69999694824219,31.0,7.0,98.0,1734.0,1808.0,3.0,6.0,109.0,583.0,480.0,234891.0,236042.0,1.0048958670367658,13764500.0,1296000.0,10.62074797781792,2019-02-26
2019-02-27,77.69999694824219,77.3499984741211,77.69999694824219,77.6500015258789,12907489.0,77.6500015258789,9.0,0.0,63.0,1680.0,1734.0,3.0,3.0,11.0,591.0,583.0,234945.0,236034.0,1.0046308513445643,11895000.0,2946000.0,4.037676837176905,2019-02-27
2019-03-04,77.55000305175781,76.69999694824219,77.55000305175781,76.94999694824219,8469570.0,76.94999694824219,89.0,3.0,62.0,1704.0,1680.0,6.0,14.0,7.0,584.0,591.0,234421.0,235541.0,1.0047734427656108,5625000.0,6574950.0,0.8555196837208369,2019-03-04
2019-03-05,76.9000015258789,76.44999694824219,76.5999984741211,76.75,9400493.0,76.75,18.0,0.0,40.0,1682.0,1704.0,3.0,126.0,3.0,461.0,584.0,229443.0,230664.0,1.005317201582957,7691000.0,1071683.0,7.176555775769724,2019-03-05
2019-03-06,77.05000305175781,76.75,76.8499984741211,76.94999694824219,19579792.0,76.94999694824219,18.0,5.0,7.0,1688.0,1682.0,3.0,9.0,5.0,457.0,461.0,226937.0,228168.0,1.0054199825503,17983000.0,5051000.0,3.560284387193746,2019-03-06
2019-03-07,77.05000305175781,76.5999984741211,76.9000015258789,76.6500015258789,18239770.0,76.6500015258789,21.0,0.0,8.0,1701.0,1688.0,44.0,3.0,13.0,467.0,457.0,226049.0,227283.0,1.0054545454545454,16520000.0,2659000.0,6.212859641647371,2019-03-07
2019-03-08,76.3499984741211,75.80000305175781,76.19999694824219,76.0,9975200.0,76.0,68.0,3.0,26.0,1740.0,1701.0,0.0,44.0,10.0,433.0,467.0,226010.0,227317.0,1.005778479808505,5895000.0,2769000.0,2.128926641774416,2019-03-08
2019-03-11,76.1500015258789,75.69999694824219,75.8499984741211,76.1500015258789,4642390.0,76.1500015258789,19.0,0.0,4.0,1755.0,1740.0,0.0,11.0,6.0,428.0,433.0,225995.0,227322.0,1.0058673604842563,2107000.0,2103932.0,1.001457746040392,2019-03-11
2019-03-12,77.44999694824219,76.80000305175781,76.8499984741211,77.25,13857468.0,77.25,93.0,6.0,86.0,1756.0,1755.0,0.0,17.0,12.0,423.0,428.0,225994.0,227327.0,1.0058939357065422,12418000.0,805000.0,15.426067793704604,2019-03-12
2019-03-13,77.19999694824219,76.80000305175781,77.05000305175781,77.0999984741211,10148529.0,77.0999984741211,13.0,0.0,6.0,1763.0,1756.0,0.0,10.0,20.0,433.0,423.0,221737.0,223067.0,1.0059935599671683,8576000.0,1351000.0,6.347885752860287,2019-03-13
2019-03-14,77.4000015258789,76.94999694824219,77.30000305175781,77.05000305175781,5208756.0,77.05000305175781,23.0,0.0,0.0,1786.0,1763.0,3.0,42.0,11.0,402.0,433.0,219339.0,220723.0,1.006305279474788,3779200.0,1768000.0,2.1375553520614523,2019-03-14
2019-03-15,77.69999694824219,77.1500015258789,77.3499984741211,77.5999984741211,11483751.0,77.5999984741211,12.0,20.0,73.0,1705.0,1786.0,0.0,6.0,33.0,429.0,402.0,219420.0,220696.0,1.0058107473760487,10561000.0,185000.0,57.08617791255183,2019-03-15
2019-03-18,78.0999984741211,77.6500015258789,77.75,78.0999984741211,12218708.0,78.0999984741211,261.0,0.0,63.0,1903.0,1705.0,6.0,10.0,40.0,459.0,429.0,219222.0,220666.0,1.0065823385319972,10036025.0,1277000.0,7.859058058685937,2019-03-18
2019-03-19,78.4000015258789,77.8499984741211,78.0999984741211,78.4000015258789,8604296.0,78.4000015258789,17.0,0.0,357.0,1563.0,1903.0,3.0,10.0,19.0,468.0,459.0,219562.0,220657.0,1.0049826245770006,7655000.0,2609000.0,2.934073233394698,2019-03-19
2019-03-20,78.55000305175781,78.19999694824219,78.3499984741211,78.5,11856027.0,78.5,11.0,0.0,51.0,1523.0,1563.0,0.0,2.0,12.0,478.0,468.0,219602.0,220647.0,1.004754033414844,10357000.0,6900000.0,1.5010142752153224,2019-03-20
2019-03-21,79.1500015258789,78.6500015258789,78.80000305175781,79.1500015258789,11341213.0,79.1500015258789,12.0,6.0,96.0,1433.0,1523.0,9.0,6.0,17.0,489.0,478.0,216192.0,217136.0,1.00436184335293,10216000.0,1209000.0,8.449951654299706,2019-03-21
2019-03-22,79.69999694824219,79.05000305175781,79.5,79.3499984741211,6930357.0,79.3499984741211,41.0,0.0,53.0,1421.0,1433.0,3.0,38.0,2.0,453.0,489.0,216204.0,217172.0,1.0044726070164889,5217000.0,893000.0,5.842098721054064,2019-03-22
2019-03-25,78.3499984741211,78.0,78.0999984741211,78.1500015258789,7020756.0,78.1500015258789,78.0,0.0,39.0,1460.0,1421.0,0.0,28.0,93.0,518.0,453.0,215915.0,216857.0,1.004358176327831,2402000.0,3679000.0,0.6528946309065966,2019-03-25
2019-03-26,78.69999694824219,78.4000015258789,78.5,78.6500015258789,2700090.0,78.6500015258789,152.0,0.0,27.0,1585.0,1460.0,0.0,0.0,2.0,520.0,518.0,214665.0,215730.0,1.004956537132103,1482000.0,710000.0,2.087321003773234,2019-03-26
